Origin,Destination,Departure,Arrival,Class,Carrier,Flight Number,Distance (KM),International,Operating Carrier,Total Price,Currency
JFK,LAX,2024-12-26T21:00:00-05:00,2024-12-27T00:29:00-08:00,BUSINESS,BA,4689,3977.8777,False,American,16926.96,USD
JFK,LAX,2024-12-26T21:00:00-05:00,2024-12-27T00:29:00-08:00,BUSINESS,BA,4689,3977.8777,False,American,17135.96,USD
JFK,LAX,2024-12-26T21:00:00-05:00,2024-12-27T00:29:00-08:00,BUSINESS,BA,4689,3977.8777,False,American,17766.96,USD
LAX,ORD,2025-01-15T13:28:00-08:00,2025-01-15T19:31:00-06:00,ECONOMY,BA,4789,2804.864,False,American,16556.28,USD
LAX,ORD,2025-01-15T13:28:00-08:00,2025-01-15T19:31:00-06:00,ECONOMY,BA,4789,2804.864,False,American,16910.28,USD
LAX,ORD,2025-01-15T13:28:00-08:00,2025-01-15T19:31:00-06:00,ECONOMY,BA,4789,2804.864,False,American,16926.96,USD
LAX,ORD,2025-01-15T13:28:00-08:00,2025-01-15T19:31:00-06:00,ECONOMY,BA,4789,2804.864,False,American,17135.96,USD
LAX,ORD,2025-01-15T13:28:00-08:00,2025-01-15T19:31:00-06:00,ECONOMY,BA,4789,2804.864,False,American,17766.96,USD
ORD,LHR,2025-01-15T21:45:00-06:00,2025-01-16T11:30:00Z,BUSINESS,BA,296,6351.1797,True,British Airways,16556.28,USD
ORD,LHR,2025-01-15T21:45:00-06:00,2025-01-16T11:30:00Z,BUSINESS,BA,296,6351.1797,True,British Airways,16910.28,USD
ORD,LHR,2025-01-15T21:45:00-06:00,2025-01-16T11:30:00Z,BUSINESS,BA,296,6351.1797,True,British Airways,16926.96,USD
ORD,LHR,2025-01-15T21:45:00-06:00,2025-01-16T11:30:00Z,BUSINESS,BA,296,6351.1797,True,British Airways,17135.96,USD
ORD,LHR,2025-01-15T21:45:00-06:00,2025-01-16T11:30:00Z,BUSINESS,BA,296,6351.1797,True,British Airways,17766.96,USD
LHR,BLR,2025-01-16T13:45:00Z,2025-01-17T05:05:00+05:30,BUSINESS,BA,119,8055.116,True,British Airways,16556.28,USD
LHR,BLR,2025-01-16T13:45:00Z,2025-01-17T05:05:00+05:30,BUSINESS,BA,119,8055.116,True,British Airways,16910.28,USD
LHR,BLR,2025-01-16T13:45:00Z,2025-01-17T05:05:00+05:30,BUSINESS,BA,119,8055.116,True,British Airways,16926.96,USD
LHR,BLR,2025-01-16T13:45:00Z,2025-01-17T05:05:00+05:30,BUSINESS,BA,119,8055.116,True,British Airways,17135.96,USD
LHR,BLR,2025-01-16T13:45:00Z,2025-01-17T05:05:00+05:30,BUSINESS,BA,119,8055.116,True,British Airways,17766.96,USD
BLR,LHR,2024-12-26T07:15:00+05:30,2024-12-26T13:20:00Z,BUSINESS,BA,118,8055.116,True,British Airways,16556.28,USD
BLR,LHR,2024-12-26T07:15:00+05:30,2024-12-26T13:20:00Z,BUSINESS,BA,118,8055.116,True,British Airways,16910.28,USD
BLR,LHR,2024-12-26T07:15:00+05:30,2024-12-26T13:20:00Z,BUSINESS,BA,118,8055.116,True,British Airways,16926.96,USD
BLR,LHR,2024-12-26T07:15:00+05:30,2024-12-26T13:20:00Z,BUSINESS,BA,118,8055.116,True,British Airways,17135.96,USD
BLR,LHR,2024-12-26T07:15:00+05:30,2024-12-26T13:20:00Z,BUSINESS,BA,118,8055.116,True,British Airways,17766.96,USD
LHR,JFK,2024-12-26T19:00:00Z,2024-12-26T22:05:00-05:00,BUSINESS,BA,1593,5546.127,True,American,16556.28,USD
LHR,JFK,2024-12-26T19:00:00Z,2024-12-26T22:05:00-05:00,BUSINESS,BA,1593,5546.127,True,American,16910.28,USD
LHR,JFK,2024-12-26T19:00:00Z,2024-12-26T22:05:00-05:00,BUSINESS,BA,1593,5546.127,True,American,16926.96,USD
LHR,JFK,2024-12-26T19:00:00Z,2024-12-26T22:05:00-05:00,BUSINESS,BA,1593,5546.127,True,American,17135.96,USD
LHR,JFK,2024-12-26T19:00:00Z,2024-12-26T22:05:00-05:00,BUSINESS,BA,1593,5546.127,True,American,17766.96,USD
JFK,LAX,2024-12-27T06:00:00-05:00,2024-12-27T09:22:00-08:00,BUSINESS,BA,1905,3977.8777,False,American,16556.28,USD
JFK,LAX,2024-12-27T06:00:00-05:00,2024-12-27T09:22:00-08:00,BUSINESS,BA,1905,3977.8777,False,American,16910.28,USD
JFK,LAX,2024-12-27T06:00:00-05:00,2024-12-27T09:22:00-08:00,BUSINESS,BA,1905,3977.8777,False,American,16926.96,USD
JFK,LAX,2024-12-27T06:00:00-05:00,2024-12-27T09:22:00-08:00,BUSINESS,BA,1905,3977.8777,False,American,17135.96,USD
JFK,LAX,2024-12-27T06:00:00-05:00,2024-12-27T09:22:00-08:00,BUSINESS,BA,1905,3977.8777,False,American,17766.96,USD
LAX,ORD,2025-01-15T13:28:00-08:00,2025-01-15T19:31:00-06:00,ECONOMY,BA,4789,2804.864,False,American,16556.28,USD
LAX,ORD,2025-01-15T13:28:00-08:00,2025-01-15T19:31:00-06:00,ECONOMY,BA,4789,2804.864,False,American,16910.28,USD
LAX,ORD,2025-01-15T13:28:00-08:00,2025-01-15T19:31:00-06:00,ECONOMY,BA,4789,2804.864,False,American,16926.96,USD
LAX,ORD,2025-01-15T13:28:00-08:00,2025-01-15T19:31:00-06:00,ECONOMY,BA,4789,2804.864,False,American,17135.96,USD
LAX,ORD,2025-01-15T13:28:00-08:00,2025-01-15T19:31:00-06:00,ECONOMY,BA,4789,2804.864,False,American,17766.96,USD
ORD,LHR,2025-01-15T21:45:00-06:00,2025-01-16T11:30:00Z,BUSINESS,BA,296,6351.1797,True,British Airways,16556.28,USD
ORD,LHR,2025-01-15T21:45:00-06:00,2025-01-16T11:30:00Z,BUSINESS,BA,296,6351.1797,True,British Airways,16910.28,USD
ORD,LHR,2025-01-15T21:45:00-06:00,2025-01-16T11:30:00Z,BUSINESS,BA,296,6351.1797,True,British Airways,16926.96,USD
ORD,LHR,2025-01-15T21:45:00-06:00,2025-01-16T11:30:00Z,BUSINESS,BA,296,6351.1797,True,British Airways,17135.96,USD
ORD,LHR,2025-01-15T21:45:00-06:00,2025-01-16T11:30:00Z,BUSINESS,BA,296,6351.1797,True,British Airways,17766.96,USD
LHR,BLR,2025-01-16T13:45:00Z,2025-01-17T05:05:00+05:30,BUSINESS,BA,119,8055.116,True,British Airways,16556.28,USD
LHR,BLR,2025-01-16T13:45:00Z,2025-01-17T05:05:00+05:30,BUSINESS,BA,119,8055.116,True,British Airways,16910.28,USD
LHR,BLR,2025-01-16T13:45:00Z,2025-01-17T05:05:00+05:30,BUSINESS,BA,119,8055.116,True,British Airways,16926.96,USD
LHR,BLR,2025-01-16T13:45:00Z,2025-01-17T05:05:00+05:30,BUSINESS,BA,119,8055.116,True,British Airways,17135.96,USD
LHR,BLR,2025-01-16T13:45:00Z,2025-01-17T05:05:00+05:30,BUSINESS,BA,119,8055.116,True,British Airways,17766.96,USD
BLR,LHR,2024-12-26T07:15:00+05:30,2024-12-26T13:20:00Z,BUSINESS,BA,118,8055.116,True,British Airways,17075.88,USD
BLR,LHR,2024-12-26T07:15:00+05:30,2024-12-26T13:20:00Z,BUSINESS,BA,118,8055.116,True,British Airways,17441.08,USD
BLR,LHR,2024-12-26T07:15:00+05:30,2024-12-26T13:20:00Z,BUSINESS,BA,118,8055.116,True,British Airways,17835.96,USD
BLR,LHR,2024-12-26T07:15:00+05:30,2024-12-26T13:20:00Z,BUSINESS,BA,118,8055.116,True,British Airways,18044.96,USD
BLR,LHR,2024-12-26T07:15:00+05:30,2024-12-26T13:20:00Z,BUSINESS,BA,118,8055.116,True,British Airways,18720.96,USD
LHR,LAX,2024-12-26T15:05:00Z,2024-12-26T18:25:00-08:00,BUSINESS,BA,269,8769.627,True,British Airways,17075.88,USD
LHR,LAX,2024-12-26T15:05:00Z,2024-12-26T18:25:00-08:00,BUSINESS,BA,269,8769.627,True,British Airways,17441.08,USD
LHR,LAX,2024-12-26T15:05:00Z,2024-12-26T18:25:00-08:00,BUSINESS,BA,269,8769.627,True,British Airways,17835.96,USD
LHR,LAX,2024-12-26T15:05:00Z,2024-12-26T18:25:00-08:00,BUSINESS,BA,269,8769.627,True,British Airways,18044.96,USD
LHR,LAX,2024-12-26T15:05:00Z,2024-12-26T18:25:00-08:00,BUSINESS,BA,269,8769.627,True,British Airways,18720.96,USD
LAX,ORD,2025-01-15T13:28:00-08:00,2025-01-15T19:31:00-06:00,ECONOMY,BA,4789,2804.864,False,American,17075.88,USD
LAX,ORD,2025-01-15T13:28:00-08:00,2025-01-15T19:31:00-06:00,ECONOMY,BA,4789,2804.864,False,American,17441.08,USD
LAX,ORD,2025-01-15T13:28:00-08:00,2025-01-15T19:31:00-06:00,ECONOMY,BA,4789,2804.864,False,American,17835.96,USD
LAX,ORD,2025-01-15T13:28:00-08:00,2025-01-15T19:31:00-06:00,ECONOMY,BA,4789,2804.864,False,American,18044.96,USD
LAX,ORD,2025-01-15T13:28:00-08:00,2025-01-15T19:31:00-06:00,ECONOMY,BA,4789,2804.864,False,American,18720.96,USD
ORD,LHR,2025-01-15T21:45:00-06:00,2025-01-16T11:30:00Z,BUSINESS,BA,296,6351.1797,True,British Airways,17075.88,USD
ORD,LHR,2025-01-15T21:45:00-06:00,2025-01-16T11:30:00Z,BUSINESS,BA,296,6351.1797,True,British Airways,17441.08,USD
ORD,LHR,2025-01-15T21:45:00-06:00,2025-01-16T11:30:00Z,BUSINESS,BA,296,6351.1797,True,British Airways,17835.96,USD
ORD,LHR,2025-01-15T21:45:00-06:00,2025-01-16T11:30:00Z,BUSINESS,BA,296,6351.1797,True,British Airways,18044.96,USD
ORD,LHR,2025-01-15T21:45:00-06:00,2025-01-16T11:30:00Z,BUSINESS,BA,296,6351.1797,True,British Airways,18720.96,USD
LHR,BLR,2025-01-16T13:45:00Z,2025-01-17T05:05:00+05:30,BUSINESS,BA,119,8055.116,True,British Airways,17075.88,USD
LHR,BLR,2025-01-16T13:45:00Z,2025-01-17T05:05:00+05:30,BUSINESS,BA,119,8055.116,True,British Airways,17441.08,USD
LHR,BLR,2025-01-16T13:45:00Z,2025-01-17T05:05:00+05:30,BUSINESS,BA,119,8055.116,True,British Airways,17835.96,USD
LHR,BLR,2025-01-16T13:45:00Z,2025-01-17T05:05:00+05:30,BUSINESS,BA,119,8055.116,True,British Airways,18044.96,USD
LHR,BLR,2025-01-16T13:45:00Z,2025-01-17T05:05:00+05:30,BUSINESS,BA,119,8055.116,True,British Airways,18720.96,USD
BLR,LHR,2024-12-26T07:15:00+05:30,2024-12-26T13:20:00Z,BUSINESS,BA,118,8055.116,True,British Airways,17075.88,USD
BLR,LHR,2024-12-26T07:15:00+05:30,2024-12-26T13:20:00Z,BUSINESS,BA,118,8055.116,True,British Airways,17467.96,USD
BLR,LHR,2024-12-26T07:15:00+05:30,2024-12-26T13:20:00Z,BUSINESS,BA,118,8055.116,True,British Airways,17862.96,USD
BLR,LHR,2024-12-26T07:15:00+05:30,2024-12-26T13:20:00Z,BUSINESS,BA,118,8055.116,True,British Airways,18071.96,USD
BLR,LHR,2024-12-26T07:15:00+05:30,2024-12-26T13:20:00Z,BUSINESS,BA,118,8055.116,True,British Airways,18749.96,USD
LHR,LAX,2024-12-26T15:05:00Z,2024-12-26T18:25:00-08:00,BUSINESS,BA,269,8769.627,True,British Airways,17075.88,USD
LHR,LAX,2024-12-26T15:05:00Z,2024-12-26T18:25:00-08:00,BUSINESS,BA,269,8769.627,True,British Airways,17467.96,USD
LHR,LAX,2024-12-26T15:05:00Z,2024-12-26T18:25:00-08:00,BUSINESS,BA,269,8769.627,True,British Airways,17862.96,USD
LHR,LAX,2024-12-26T15:05:00Z,2024-12-26T18:25:00-08:00,BUSINESS,BA,269,8769.627,True,British Airways,18071.96,USD
LHR,LAX,2024-12-26T15:05:00Z,2024-12-26T18:25:00-08:00,BUSINESS,BA,269,8769.627,True,British Airways,18749.96,USD
LAX,ORD,2025-01-15T13:28:00-08:00,2025-01-15T19:31:00-06:00,ECONOMY,BA,4789,2804.864,False,American,17075.88,USD
LAX,ORD,2025-01-15T13:28:00-08:00,2025-01-15T19:31:00-06:00,ECONOMY,BA,4789,2804.864,False,American,17467.96,USD
LAX,ORD,2025-01-15T13:28:00-08:00,2025-01-15T19:31:00-06:00,ECONOMY,BA,4789,2804.864,False,American,17862.96,USD
LAX,ORD,2025-01-15T13:28:00-08:00,2025-01-15T19:31:00-06:00,ECONOMY,BA,4789,2804.864,False,American,18071.96,USD
LAX,ORD,2025-01-15T13:28:00-08:00,2025-01-15T19:31:00-06:00,ECONOMY,BA,4789,2804.864,False,American,18749.96,USD
ORD,LHR,2025-01-15T22:00:00-06:00,2025-01-16T11:40:00Z,BUSINESS,BA,1541,6351.1797,True,American,17075.88,USD
ORD,LHR,2025-01-15T22:00:00-06:00,2025-01-16T11:40:00Z,BUSINESS,BA,1541,6351.1797,True,American,17467.96,USD
ORD,LHR,2025-01-15T22:00:00-06:00,2025-01-16T11:40:00Z,BUSINESS,BA,1541,6351.1797,True,American,17862.96,USD
ORD,LHR,2025-01-15T22:00:00-06:00,2025-01-16T11:40:00Z,BUSINESS,BA,1541,6351.1797,True,American,18071.96,USD
ORD,LHR,2025-01-15T22:00:00-06:00,2025-01-16T11:40:00Z,BUSINESS,BA,1541,6351.1797,True,American,18749.96,USD
LHR,BLR,2025-01-16T13:45:00Z,2025-01-17T05:05:00+05:30,BUSINESS,BA,119,8055.116,True,British Airways,17075.88,USD
LHR,BLR,2025-01-16T13:45:00Z,2025-01-17T05:05:00+05:30,BUSINESS,BA,119,8055.116,True,British Airways,17467.96,USD
LHR,BLR,2025-01-16T13:45:00Z,2025-01-17T05:05:00+05:30,BUSINESS,BA,119,8055.116,True,British Airways,17862.96,USD
LHR,BLR,2025-01-16T13:45:00Z,2025-01-17T05:05:00+05:30,BUSINESS,BA,119,8055.116,True,British Airways,18071.96,USD
LHR,BLR,2025-01-16T13:45:00Z,2025-01-17T05:05:00+05:30,BUSINESS,BA,119,8055.116,True,British Airways,18749.96,USD
BLR,LHR,2024-12-26T07:15:00+05:30,2024-12-26T13:20:00Z,BUSINESS,BA,118,8055.116,True,British Airways,17075.88,USD
BLR,LHR,2024-12-26T07:15:00+05:30,2024-12-26T13:20:00Z,BUSINESS,BA,118,8055.116,True,British Airways,17441.08,USD
BLR,LHR,2024-12-26T07:15:00+05:30,2024-12-26T13:20:00Z,BUSINESS,BA,118,8055.116,True,British Airways,17835.96,USD
BLR,LHR,2024-12-26T07:15:00+05:30,2024-12-26T13:20:00Z,BUSINESS,BA,118,8055.116,True,British Airways,18044.96,USD
BLR,LHR,2024-12-26T07:15:00+05:30,2024-12-26T13:20:00Z,BUSINESS,BA,118,8055.116,True,British Airways,18720.96,USD
LHR,LAX,2024-12-26T16:55:00Z,2024-12-26T20:25:00-08:00,BUSINESS,BA,1502,8769.627,True,American,17075.88,USD
LHR,LAX,2024-12-26T16:55:00Z,2024-12-26T20:25:00-08:00,BUSINESS,BA,1502,8769.627,True,American,17441.08,USD
LHR,LAX,2024-12-26T16:55:00Z,2024-12-26T20:25:00-08:00,BUSINESS,BA,1502,8769.627,True,American,17835.96,USD
LHR,LAX,2024-12-26T16:55:00Z,2024-12-26T20:25:00-08:00,BUSINESS,BA,1502,8769.627,True,American,18044.96,USD
LHR,LAX,2024-12-26T16:55:00Z,2024-12-26T20:25:00-08:00,BUSINESS,BA,1502,8769.627,True,American,18720.96,USD
LAX,ORD,2025-01-15T13:28:00-08:00,2025-01-15T19:31:00-06:00,ECONOMY,BA,4789,2804.864,False,American,17075.88,USD
LAX,ORD,2025-01-15T13:28:00-08:00,2025-01-15T19:31:00-06:00,ECONOMY,BA,4789,2804.864,False,American,17441.08,USD
LAX,ORD,2025-01-15T13:28:00-08:00,2025-01-15T19:31:00-06:00,ECONOMY,BA,4789,2804.864,False,American,17835.96,USD
LAX,ORD,2025-01-15T13:28:00-08:00,2025-01-15T19:31:00-06:00,ECONOMY,BA,4789,2804.864,False,American,18044.96,USD
LAX,ORD,2025-01-15T13:28:00-08:00,2025-01-15T19:31:00-06:00,ECONOMY,BA,4789,2804.864,False,American,18720.96,USD
ORD,LHR,2025-01-15T21:45:00-06:00,2025-01-16T11:30:00Z,BUSINESS,BA,296,6351.1797,True,British Airways,17075.88,USD
ORD,LHR,2025-01-15T21:45:00-06:00,2025-01-16T11:30:00Z,BUSINESS,BA,296,6351.1797,True,British Airways,17441.08,USD
ORD,LHR,2025-01-15T21:45:00-06:00,2025-01-16T11:30:00Z,BUSINESS,BA,296,6351.1797,True,British Airways,17835.96,USD
ORD,LHR,2025-01-15T21:45:00-06:00,2025-01-16T11:30:00Z,BUSINESS,BA,296,6351.1797,True,British Airways,18044.96,USD
ORD,LHR,2025-01-15T21:45:00-06:00,2025-01-16T11:30:00Z,BUSINESS,BA,296,6351.1797,True,British Airways,18720.96,USD
LHR,BLR,2025-01-16T13:45:00Z,2025-01-17T05:05:00+05:30,BUSINESS,BA,119,8055.116,True,British Airways,17075.88,USD
LHR,BLR,2025-01-16T13:45:00Z,2025-01-17T05:05:00+05:30,BUSINESS,BA,119,8055.116,True,British Airways,17441.08,USD
LHR,BLR,2025-01-16T13:45:00Z,2025-01-17T05:05:00+05:30,BUSINESS,BA,119,8055.116,True,British Airways,17835.96,USD
LHR,BLR,2025-01-16T13:45:00Z,2025-01-17T05:05:00+05:30,BUSINESS,BA,119,8055.116,True,British Airways,18044.96,USD
LHR,BLR,2025-01-16T13:45:00Z,2025-01-17T05:05:00+05:30,BUSINESS,BA,119,8055.116,True,British Airways,18720.96,USD
BLR,LHR,2024-12-26T07:15:00+05:30,2024-12-26T13:20:00Z,BUSINESS,BA,118,8055.116,True,British Airways,17075.88,USD
BLR,LHR,2024-12-26T07:15:00+05:30,2024-12-26T13:20:00Z,BUSINESS,BA,118,8055.116,True,British Airways,17467.96,USD
BLR,LHR,2024-12-26T07:15:00+05:30,2024-12-26T13:20:00Z,BUSINESS,BA,118,8055.116,True,British Airways,17871.96,USD
BLR,LHR,2024-12-26T07:15:00+05:30,2024-12-26T13:20:00Z,BUSINESS,BA,118,8055.116,True,British Airways,18071.96,USD
BLR,LHR,2024-12-26T07:15:00+05:30,2024-12-26T13:20:00Z,BUSINESS,BA,118,8055.116,True,British Airways,18749.96,USD
LHR,LAX,2024-12-26T16:55:00Z,2024-12-26T20:25:00-08:00,BUSINESS,BA,1502,8769.627,True,American,17075.88,USD
LHR,LAX,2024-12-26T16:55:00Z,2024-12-26T20:25:00-08:00,BUSINESS,BA,1502,8769.627,True,American,17467.96,USD
LHR,LAX,2024-12-26T16:55:00Z,2024-12-26T20:25:00-08:00,BUSINESS,BA,1502,8769.627,True,American,17871.96,USD
LHR,LAX,2024-12-26T16:55:00Z,2024-12-26T20:25:00-08:00,BUSINESS,BA,1502,8769.627,True,American,18071.96,USD
LHR,LAX,2024-12-26T16:55:00Z,2024-12-26T20:25:00-08:00,BUSINESS,BA,1502,8769.627,True,American,18749.96,USD
LAX,ORD,2025-01-15T13:28:00-08:00,2025-01-15T19:31:00-06:00,ECONOMY,BA,4789,2804.864,False,American,17075.88,USD
LAX,ORD,2025-01-15T13:28:00-08:00,2025-01-15T19:31:00-06:00,ECONOMY,BA,4789,2804.864,False,American,17467.96,USD
LAX,ORD,2025-01-15T13:28:00-08:00,2025-01-15T19:31:00-06:00,ECONOMY,BA,4789,2804.864,False,American,17871.96,USD
LAX,ORD,2025-01-15T13:28:00-08:00,2025-01-15T19:31:00-06:00,ECONOMY,BA,4789,2804.864,False,American,18071.96,USD
LAX,ORD,2025-01-15T13:28:00-08:00,2025-01-15T19:31:00-06:00,ECONOMY,BA,4789,2804.864,False,American,18749.96,USD
ORD,LHR,2025-01-15T22:00:00-06:00,2025-01-16T11:40:00Z,BUSINESS,BA,1541,6351.1797,True,American,17075.88,USD
ORD,LHR,2025-01-15T22:00:00-06:00,2025-01-16T11:40:00Z,BUSINESS,BA,1541,6351.1797,True,American,17467.96,USD
ORD,LHR,2025-01-15T22:00:00-06:00,2025-01-16T11:40:00Z,BUSINESS,BA,1541,6351.1797,True,American,17871.96,USD
ORD,LHR,2025-01-15T22:00:00-06:00,2025-01-16T11:40:00Z,BUSINESS,BA,1541,6351.1797,True,American,18071.96,USD
ORD,LHR,2025-01-15T22:00:00-06:00,2025-01-16T11:40:00Z,BUSINESS,BA,1541,6351.1797,True,American,18749.96,USD
LHR,BLR,2025-01-16T13:45:00Z,2025-01-17T05:05:00+05:30,BUSINESS,BA,119,8055.116,True,British Airways,17075.88,USD
LHR,BLR,2025-01-16T13:45:00Z,2025-01-17T05:05:00+05:30,BUSINESS,BA,119,8055.116,True,British Airways,17467.96,USD
LHR,BLR,2025-01-16T13:45:00Z,2025-01-17T05:05:00+05:30,BUSINESS,BA,119,8055.116,True,British Airways,17871.96,USD
LHR,BLR,2025-01-16T13:45:00Z,2025-01-17T05:05:00+05:30,BUSINESS,BA,119,8055.116,True,British Airways,18071.96,USD
LHR,BLR,2025-01-16T13:45:00Z,2025-01-17T05:05:00+05:30,BUSINESS,BA,119,8055.116,True,British Airways,18749.96,USD
BLR,LHR,2024-12-26T07:15:00+05:30,2024-12-26T13:20:00Z,BUSINESS,BA,118,8055.116,True,British Airways,17403.08,USD
BLR,LHR,2024-12-26T07:15:00+05:30,2024-12-26T13:20:00Z,BUSINESS,BA,118,8055.116,True,British Airways,18513.96,USD
BLR,LHR,2024-12-26T07:15:00+05:30,2024-12-26T13:20:00Z,BUSINESS,BA,118,8055.116,True,British Airways,18933.96,USD
BLR,LHR,2024-12-26T07:15:00+05:30,2024-12-26T13:20:00Z,BUSINESS,BA,118,8055.116,True,British Airways,19142.96,USD
BLR,LHR,2024-12-26T07:15:00+05:30,2024-12-26T13:20:00Z,BUSINESS,BA,118,8055.116,True,British Airways,19874.96,USD
BLR,LHR,2024-12-26T07:15:00+05:30,2024-12-26T13:20:00Z,BUSINESS,BA,118,8055.116,True,British Airways,21679.88,USD
BLR,LHR,2024-12-26T07:15:00+05:30,2024-12-26T13:20:00Z,BUSINESS,BA,118,8055.116,True,British Airways,22220.68,USD
LHR,LAX,2024-12-26T15:05:00Z,2024-12-26T18:25:00-08:00,BUSINESS,BA,269,8769.627,True,British Airways,17403.08,USD
LHR,LAX,2024-12-26T15:05:00Z,2024-12-26T18:25:00-08:00,BUSINESS,BA,269,8769.627,True,British Airways,18513.96,USD
LHR,LAX,2024-12-26T15:05:00Z,2024-12-26T18:25:00-08:00,BUSINESS,BA,269,8769.627,True,British Airways,18933.96,USD
LHR,LAX,2024-12-26T15:05:00Z,2024-12-26T18:25:00-08:00,BUSINESS,BA,269,8769.627,True,British Airways,19142.96,USD
LHR,LAX,2024-12-26T15:05:00Z,2024-12-26T18:25:00-08:00,BUSINESS,BA,269,8769.627,True,British Airways,19874.96,USD
LHR,LAX,2024-12-26T15:05:00Z,2024-12-26T18:25:00-08:00,BUSINESS,BA,269,8769.627,True,British Airways,21679.88,USD
LHR,LAX,2024-12-26T15:05:00Z,2024-12-26T18:25:00-08:00,BUSINESS,BA,269,8769.627,True,British Airways,22220.68,USD
LAX,LHR,2025-01-15T17:30:00-08:00,2025-01-16T12:00:00Z,BUSINESS,BA,1604,8769.627,True,American,17403.08,USD
LAX,LHR,2025-01-15T17:30:00-08:00,2025-01-16T12:00:00Z,BUSINESS,BA,1604,8769.627,True,American,18513.96,USD
LAX,LHR,2025-01-15T17:30:00-08:00,2025-01-16T12:00:00Z,BUSINESS,BA,1604,8769.627,True,American,18933.96,USD
LAX,LHR,2025-01-15T17:30:00-08:00,2025-01-16T12:00:00Z,BUSINESS,BA,1604,8769.627,True,American,19142.96,USD
LAX,LHR,2025-01-15T17:30:00-08:00,2025-01-16T12:00:00Z,BUSINESS,BA,1604,8769.627,True,American,19874.96,USD
LAX,LHR,2025-01-15T17:30:00-08:00,2025-01-16T12:00:00Z,BUSINESS,BA,1604,8769.627,True,American,21679.88,USD
LAX,LHR,2025-01-15T17:30:00-08:00,2025-01-16T12:00:00Z,BUSINESS,BA,1604,8769.627,True,American,22220.68,USD
LHR,BLR,2025-01-16T13:45:00Z,2025-01-17T05:05:00+05:30,BUSINESS,BA,119,8055.116,True,British Airways,17403.08,USD
LHR,BLR,2025-01-16T13:45:00Z,2025-01-17T05:05:00+05:30,BUSINESS,BA,119,8055.116,True,British Airways,18513.96,USD
LHR,BLR,2025-01-16T13:45:00Z,2025-01-17T05:05:00+05:30,BUSINESS,BA,119,8055.116,True,British Airways,18933.96,USD
LHR,BLR,2025-01-16T13:45:00Z,2025-01-17T05:05:00+05:30,BUSINESS,BA,119,8055.116,True,British Airways,19142.96,USD
LHR,BLR,2025-01-16T13:45:00Z,2025-01-17T05:05:00+05:30,BUSINESS,BA,119,8055.116,True,British Airways,19874.96,USD
LHR,BLR,2025-01-16T13:45:00Z,2025-01-17T05:05:00+05:30,BUSINESS,BA,119,8055.116,True,British Airways,21679.88,USD
LHR,BLR,2025-01-16T13:45:00Z,2025-01-17T05:05:00+05:30,BUSINESS,BA,119,8055.116,True,British Airways,22220.68,USD
BLR,LHR,2024-12-26T07:15:00+05:30,2024-12-26T13:20:00Z,BUSINESS,BA,118,8055.116,True,British Airways,17403.08,USD
BLR,LHR,2024-12-26T07:15:00+05:30,2024-12-26T13:20:00Z,BUSINESS,BA,118,8055.116,True,British Airways,18513.96,USD
